年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
1927,1,1,土,,2424881.125,279.19011974,239.01555854,26.86716435,1926,0,11,28,友引,乙未,,,
1927,1,2,日,,2424882.125,280.20977256,252.09579813,27.86716435,1926,0,11,29,先負,丙申,,,
1927,1,3,月,,2424883.125,281.22949405,265.53049752,28.86716435,1926,0,11,30,仏滅,丁酉,,,
1927,1,4,火,,2424884.125,282.24925278,279.30407427,0.27247685,1926,0,12,1,赤口,戊戌,,,
1927,1,5,水,,2424885.125,283.26901218,293.37251876,1.27247685,1926,0,12,2,先勝,己亥,,,
1927,1,6,木,,2424886.125,284.28873339,307.66698142,2.27247685,1926,0,12,3,友引,庚子,小寒,,
1927,1,7,金,,2424887.125,285.30837923,322.10167808,3.27247685,1926,0,12,4,先負,辛丑,,人日,
1927,1,8,土,,2424888.125,286.32791817,336.58482650,4.27247685,1926,0,12,5,仏滅,壬寅,,,
1927,1,9,日,,2424889.125,287.34732666,351.03010019,5.27247685,1926,0,12,6,大安,癸卯,,,
1927,1,10,月,,2424890.125,288.36658931,5.36576764,6.27247685,1926,0,12,7,赤口,甲辰,,,
1927,1,11,火,,2424891.125,289.38569739,19.53956019,7.27247685,1926,0,12,8,先勝,乙巳,,,
1927,1,12,水,,2424892.125,290.40464656,33.51887727,8.27247685,1926,0,12,9,友引,丙午,,,
1927,1,13,木,,2424893.125,291.42343475,47.28739846,9.27247685,1926,0,12,10,先負,丁未,,,
1927,1,14,金,,2424894.125,292.44206070,60.83992228,10.27247685,1926,0,12,11,仏滅,戊申,,,
1927,1,15,土,,2424895.125,293.46052330,74.17723470,11.27247685,1926,0,12,12,大安,己酉,,,
1927,1,16,日,,2424896.125,294.47882141,87.30230713,12.27247685,1926,0,12,13,赤口,庚戌,,,
1927,1,17,月,,2424897.125,295.49695432,100.21845789,13.27247685,1926,0,12,14,先勝,辛亥,,,
1927,1,18,火,,2424898.125,296.51492217,112.92951529,14.27247685,1926,0,12,15,友引,壬子,,,土用入(冬)
1927,1,19,水,,2424899.125,297.53272629,125.44155689,15.27247685,1926,0,12,16,先負,癸丑,,,
1927,1,20,木,,2424900.125,298.55036927,137.76554603,16.27247685,1926,0,12,17,仏滅,甲寅,,,
1927,1,21,金,,2424901.125,299.56785466,149.92011372,17.27247685,1926,0,12,18,大安,乙卯,大寒,,
1927,1,22,土,,2424902.125,300.58518640,161.93385669,18.27247685,1926,0,12,19,赤口,丙辰,,,
1927,1,23,日,,2424903.125,301.60236819,173.84673863,19.27247685,1926,0,12,20,先勝,丁巳,,,
1927,1,24,月,,2424904.125,302.61940291,185.71042273,20.27247685,1926,0,12,21,友引,戊午,,,
1927,1,25,火,,2424905.125,303.63629215,197.58752608,21.27247685,1926,0,12,22,先負,己未,,,
1927,1,26,水,,2424906.125,304.65303579,209.54982395,22.27247685,1926,0,12,23,仏滅,庚申,,,
1927,1,27,木,,2424907.125,305.66963154,221.67535414,23.27247685,1926,0,12,24,大安,辛酉,,,
1927,1,28,金,,2424908.125,306.68607431,234.04422182,24.27247685,1926,0,12,25,赤口,壬戌,,,
1927,1,29,土,,2424909.125,307.70235526,246.73277092,25.27247685,1926,0,12,26,先勝,癸亥,,,
1927,1,30,日,,2424910.125,308.71846068,259.80580254,26.27247685,1926,0,12,27,友引,甲子,,,
1927,1,31,月,,2424911.125,309.73437069,273.30686238,27.27247685,1926,0,12,28,先負,乙丑,,,
1927,2,1,火,,2424912.125,310.75005859,287.24747558,28.27247685,1926,0,12,29,仏滅,丙寅,,,
1927,2,2,水,,2424913.125,311.76549152,301.59759401,29.27247685,1927,0,1,1,先勝,丁卯,,,
1927,2,3,木,,2424914.125,312.78063306,316.28095365,0.75421296,1927,0,1,2,友引,戊辰,,,
1927,2,4,金,,2424915.125,313.79544737,331.17933159,1.75421296,1927,0,1,3,先負,己巳,,,節分
1927,2,5,土,,2424916.125,314.80990344,346.14754486,2.75421296,1927,0,1,4,仏滅,庚午,立春,,
1927,2,6,日,,2424917.125,315.82397737,1.03649497,3.75421296,1927,0,1,5,大安,辛未,,,
1927,2,7,月,,2424918.125,316.83765218,15.71723186,4.75421296,1927,0,1,6,赤口,壬申,,,
1927,2,8,火,,2424919.125,317.85091572,30.09821112,5.75421296,1927,0,1,7,先勝,癸酉,,,
1927,2,9,水,,2424920.125,318.86375858,44.13145862,6.75421296,1927,0,1,8,友引,甲戌,,,
1927,2,10,木,,2424921.125,319.87617278,57.80844317,7.75421296,1927,0,1,9,先負,乙亥,,,
1927,2,11,金,,2424922.125,320.88815134,71.14973169,8.75421296,1927,0,1,10,仏滅,丙子,,,
1927,2,12,土,,2424923.125,321.89968862,84.19291470,9.75421296,1927,0,1,11,大安,丁丑,,,
1927,2,13,日,,2424924.125,322.91078081,96.98193861,10.75421296,1927,0,1,12,赤口,戊寅,,,
1927,2,14,月,,2424925.125,323.92142630,109.55935165,11.75421296,1927,0,1,13,先勝,己卯,,,
1927,2,15,火,,2424926.125,324.93162607,121.96181977,12.75421296,1927,0,1,14,友引,庚辰,,,
1927,2,16,水,,2424927.125,325.94138374,134.21866282,13.75421296,1927,0,1,15,先負,辛巳,,,
1927,2,17,木,,2424928.125,326.95070532,146.35287252,14.75421296,1927,0,1,16,仏滅,壬午,,,
1927,2,18,金,,2424929.125,327.95959881,158.38392851,15.75421296,1927,0,1,17,大安,癸未,,,
1927,2,19,土,,2424930.125,328.96807349,170.33163721,16.75421296,1927,0,1,18,赤口,甲申,,,
1927,2,20,日,,2424931.125,329.97613913,182.22019754,17.75421296,1927,0,1,19,先勝,乙酉,雨水,,
1927,2,21,月,,2424932.125,330.98380523,194.08179382,18.75421296,1927,0,1,20,友引,丙戌,,,
1927,2,22,火,,2424933.125,331.99108030,205.95918576,19.75421296,1927,0,1,21,先負,丁亥,,,
1927,2,23,水,,2424934.125,332.99797123,217.90696363,20.75421296,1927,0,1,22,仏滅,戊子,,,
1927,2,24,木,,2424935.125,334.00448281,229.99126064,21.75421296,1927,0,1,23,大安,己丑,,,
1927,2,25,金,,2424936.125,335.01061706,242.28770708,22.75421296,1927,0,1,24,赤口,庚寅,,,
1927,2,26,土,,2424937.125,336.01637251,254.87726568,23.75421296,1927,0,1,25,先勝,辛卯,,,
1927,2,27,日,,2424938.125,337.02174327,267.83939339,24.75421296,1927,0,1,26,友引,壬辰,,,
1927,2,28,月,,2424939.125,338.02671804,281.24193647,25.75421296,1927,0,1,27,先負,癸巳,,,
1927,3,1,火,,2424940.125,339.03127946,295.12764313,26.75421296,1927,0,1,28,仏滅,甲午,,,
1927,3,2,水,,2424941.125,340.03540446,309.49860833,27.75421296,1927,0,1,29,大安,乙未,,,
1927,3,3,木,,2424942.125,341.03906612,324.30246854,28.75421296,1927,0,1,30,赤口,丙申,,上巳,
1927,3,4,金,,2424943.125,342.04223690,339.42674622,0.31638889,1927,0,2,1,友引,丁酉,,,
1927,3,5,土,,2424944.125,343.04489199,354.70786185,1.31638889,1927,0,2,2,先負,戊戌,,,
1927,3,6,日,,2424945.125,344.04701106,9.95646540,2.31638889,1927,0,2,3,仏滅,己亥,啓蟄,,
1927,3,7,月,,2424946.125,345.04857757,24.99219749,3.31638889,1927,0,2,4,大安,庚子,,,
1927,3,8,火,,2424947.125,346.04957696,39.67502658,4.31638889,1927,0,2,5,赤口,辛丑,,,
1927,3,9,水,,2424948.125,347.04999545,53.92237694,5.31638889,1927,0,2,6,先勝,壬寅,,,
1927,3,10,木,,2424949.125,348.04982016,67.70949298,6.31638889,1927,0,2,7,友引,癸卯,,,
1927,3,11,金,,2424950.125,349.04904011,81.05791769,7.31638889,1927,0,2,8,先負,甲辰,,,
1927,3,12,土,,2424951.125,350.04764734,94.01931054,8.31638889,1927,0,2,9,仏滅,乙巳,,,
1927,3,13,日,,2424952.125,351.04563754,106.66007187,9.31638889,1927,0,2,10,大安,丙午,,,
1927,3,14,月,,2424953.125,352.04301025,119.04938230,10.31638889,1927,0,2,11,赤口,丁未,,,
1927,3,15,火,,2424954.125,353.03976880,131.25119897,11.31638889,1927,0,2,12,先勝,戊申,,,
