年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2073,1,1,日,元日,2478208.125,280.78088112,183.98077591,22.41628472,2072,0,11,23,先負,壬午,,,
2073,1,2,月,振替休日,2478209.125,281.80003823,198.04736644,23.41628472,2072,0,11,24,仏滅,癸未,,,
2073,1,3,火,,2478210.125,282.81931338,212.00260274,24.41628472,2072,0,11,25,大安,甲申,,,
2073,1,4,水,,2478211.125,283.83869455,225.83129053,25.41628472,2072,0,11,26,赤口,乙酉,,,
2073,1,5,木,,2478212.125,284.85816286,239.51371320,26.41628472,2072,0,11,27,先勝,丙戌,小寒,,
2073,1,6,金,,2478213.125,285.87769327,253.02454092,27.41628472,2072,0,11,28,友引,丁亥,,,
2073,1,7,土,,2478214.125,286.89725617,266.33513824,28.41628472,2072,0,11,29,先負,戊子,,人日,
2073,1,8,日,,2478215.125,287.91681937,279.41841539,29.41628472,2072,0,12,1,赤口,己丑,,,
2073,1,9,月,成人の日,2478216.125,288.93635042,292.25470989,0.78299769,2072,0,12,2,先勝,庚寅,,,
2073,1,10,火,,2478217.125,289.95581840,304.83710114,1.78299769,2072,0,12,3,友引,辛卯,,,
2073,1,11,水,,2478218.125,290.97519531,317.17499917,2.78299769,2072,0,12,4,先負,壬辰,,,
2073,1,12,木,,2478219.125,291.99445664,329.29557279,3.78299769,2072,0,12,5,仏滅,癸巳,,,
2073,1,13,金,,2478220.125,293.01358139,341.24320872,4.78299769,2072,0,12,6,大安,甲午,,,
2073,1,14,土,,2478221.125,294.03255173,353.07752934,5.78299769,2072,0,12,7,赤口,乙未,,,
2073,1,15,日,,2478222.125,295.05135257,4.87049614,6.78299769,2072,0,12,8,先勝,丙申,,,
2073,1,16,月,,2478223.125,296.06997107,16.70291744,7.78299769,2072,0,12,9,友引,丁酉,,,土用入(冬)
2073,1,17,火,,2478224.125,297.08839636,28.66038983,8.78299769,2072,0,12,10,先負,戊戌,,,
2073,1,18,水,,2478225.125,298.10661934,40.82845368,9.78299769,2072,0,12,11,仏滅,己亥,,,
2073,1,19,木,,2478226.125,299.12463248,53.28663630,10.78299769,2072,0,12,12,大安,庚子,大寒,,
2073,1,20,金,,2478227.125,300.14242979,66.10117836,11.78299769,2072,0,12,13,赤口,辛丑,,,
2073,1,21,土,,2478228.125,301.16000666,79.31670086,12.78299769,2072,0,12,14,先勝,壬寅,,,
2073,1,22,日,,2478229.125,302.17735984,92.94788468,13.78299769,2072,0,12,15,友引,癸卯,,,
2073,1,23,月,,2478230.125,303.19448770,106.97320682,14.78299769,2072,0,12,16,先負,甲辰,,,
